V1,v1_time_fitness_minutes,v1_distance_fitness_km,v1_runtime,V2,v2_time_fitness_minutes,v2_distance_fitness_km,v2_runtime,V3,v3_time_fitness_minutes,v3_distance_fitness_km,v3_runtime
,593.7923475,392.005719,7.030888081,,1575.840353,693.317157,0.042674065,,1363.698532,485.4021608,0.030246019
,517.6434191,447.1309602,6.831423044,,1416.762212,566.4080173,0.031363964,,1363.698532,485.4021608,0.019104958
,535.2449019,416.2590309,6.62845397,,1486.005532,627.4360076,0.034068108,,1363.698532,485.4021608,0.021420956
,594.019931,454.2434693,6.419239998,,1501.84787,604.8221221,0.028963804,,1363.698532,485.4021608,0.017696857
,498.8530041,411.013411,6.569945097,,1555.383494,592.5758771,0.028712034,,1363.698532,485.4021608,0.018441916
,567.5941863,414.7352339,6.419077873,,1481.785824,627.020685,0.03094101,,1363.698532,485.4021608,0.022110939
,621.3108299,435.4689966,6.475317955,,1421.941611,593.7511003,0.031807899,,1363.698532,485.4021608,0.020051003
,574.3969438,430.9295767,6.49515295,,1485.039904,674.9204363,0.032685995,,1363.698532,485.4021608,0.019518852
,580.4206431,406.2113602,6.437409878,,1735.01032,623.0821901,0.02887702,,1363.698532,485.4021608,0.018228054
,630.1634134,434.675496,6.321122169,,1368.297381,552.4374513,0.028695822,,1363.698532,485.4021608,0.017227888
,556.8598861,428.1066399,6.423666,,1520.25543,633.8638729,0.029968977,,1363.698532,485.4021608,0.020063877
,579.7667601,428.770708,6.278235912,,1224.887115,646.7394587,0.029353857,,1363.698532,485.4021608,0.019912004
,550.0195513,436.4295861,6.385797024,,1478.952704,601.7334804,0.033034086,,1363.698532,485.4021608,0.021616936
,619.7102786,412.1008674,6.391863823,,1824.047248,598.5718376,0.033145189,,1363.698532,485.4021608,0.019979954
,513.2790347,408.8640782,6.447252989,,1305.60867,658.184804,0.02760005,,1363.698532,485.4021608,0.018373966
,516.7790571,437.5373045,6.113651037,,1396.86634,787.5546888,0.026856184,,1363.698532,485.4021608,0.018100977
,492.7551429,415.1007281,6.325658798,,1879.680966,647.8904134,0.028554916,,1363.698532,485.4021608,0.018283844
,573.7558059,430.2090693,6.311514854,,1645.484055,746.6608771,0.030841112,,1363.698532,485.4021608,0.018889904
,550.0195513,415.6756554,6.650541067,,1261.319738,696.1397984,0.031527042,,1363.698532,485.4021608,0.019423962
,580.4206431,395.9771122,6.386631012,,1513.112734,696.2312084,0.029956102,,1363.698532,485.4021608,0.019469023
,,,,,,,,,,,
Median,570.6749961,422.1828354,6.421452999,,1485.522718,630.6499403,0.030405045,,1363.698532,485.4021608,0.019446492
Dataset size,180,,,,,,,,,,
