V1,v1_time_fitness_minutes,v1_distance_fitness_km,v1_runtime,V2,v2_time_fitness_minutes,v2_distance_fitness_km,v2_runtime,V3,v3_time_fitness_minutes,v3_distance_fitness_km,v3_runtime
,623.744091,452.4115424,7.347433805,,1658.880371,616.7065354,0.04656601,,1216.638578,522.6375901,0.025887966
,580.8938659,438.4824033,7.265672922,,1407.227704,595.7940858,0.032428026,,1216.638578,522.6375901,0.019214869
,544.9211342,390.1406482,6.983572006,,1490.042875,687.8878775,0.031203032,,1216.638578,522.6375901,0.021733999
,599.4642902,418.4498237,7.413434982,,1394.855357,772.6776923,0.040217876,,1216.638578,522.6375901,0.018510818
,529.5343784,398.9662836,7.277268887,,1576.374306,571.6517216,0.034755945,,1216.638578,522.6375901,0.02131319
,586.5033699,417.8561152,7.275483131,,1695.058987,529.608727,0.037644148,,1216.638578,522.6375901,0.021827936
,548.4558482,415.8414089,7.190838099,,1906.377043,633.2966712,0.031198025,,1216.638578,522.6375901,0.017096043
,544.9211342,401.5305344,6.998179913,,1554.060329,607.5640256,0.030955791,,1216.638578,522.6375901,0.018773079
,590.3014995,392.1769112,7.004618168,,1730.905076,609.595852,0.027733088,,1216.638578,522.6375901,0.01815486
,538.58652,405.3209012,6.892740011,,1928.54547,531.2887126,0.032299995,,1216.638578,522.6375901,0.020042896
,523.1544202,397.31381,6.769806862,,1334.800859,660.824976,0.035179853,,1216.638578,522.6375901,0.021481991
,590.3014995,426.5480535,6.8288939,,1457.217103,603.1364805,0.033770084,,1216.638578,522.6375901,0.021294832
,594.6281296,411.0390922,6.983198881,,1479.35295,621.2149895,0.027220011,,1216.638578,522.6375901,0.017672062
,563.5590613,397.3645711,6.935072899,,1707.717821,626.7419531,0.031640053,,1216.638578,522.6375901,0.019589186
,491.2234188,441.3347759,7.005413055,,1847.019342,447.922911,0.036650896,,1216.638578,522.6375901,0.018547058
,531.3589784,410.3389437,6.936576128,,1564.149467,510.6744628,0.031757116,,1216.638578,522.6375901,0.02045393
,587.6787198,408.2689448,6.637998104,,2079.834956,591.4748659,0.034660101,,1216.638578,522.6375901,0.017967939
,522.1911629,431.479834,6.681318998,,1636.575975,584.7502133,0.039619207,,1216.638578,522.6375901,0.023000956
,593.9244649,400.2128083,6.853145838,,1358.668711,686.8369376,0.02809,,1216.638578,522.6375901,0.018414974
,558.8339613,411.7462706,7.077461958,,1541.535849,702.5688328,0.032638073,,1216.638578,522.6375901,0.018880129
,,,,,,,,,,,
Median,561.1965113,410.6890179,6.990875959,,1570.261887,608.5799388,0.03253305,,1216.638578,522.6375901,0.019402027
Dataset size:,180,,,,,,,,,,
