V1,v1_time_fitness_minutes,v1_distance_fitness_km,v1_runtime,V2,v2_time_fitness_minutes,v2_distance_fitness_km,v2_runtime,V3,v3_time_fitness_minutes,v3_distance_fitness_km,v3_runtime
,729.4515546,471.4508251,10.12619877,,1610.567194,779.9422168,0.051869869,,1333.381165,559.0854395,0.029706955
,639.9923445,494.4359759,9.849179029,,1281.354706,788.4683878,0.032325029,,1333.381165,559.0854395,0.025274992
,615.5027795,464.6474945,9.451455832,,1360.187985,770.5906557,0.042069912,,1333.381165,559.0854395,0.02263999
,643.7094171,512.0727228,9.790152073,,1462.668198,765.5629024,0.033849955,,1333.381165,559.0854395,0.021416903
,640.4638123,515.9848659,9.885555983,,1499.046427,663.9094608,0.038047075,,1333.381165,559.0854395,0.027673006
,615.5027795,489.4081901,9.64380002,,1799.954299,829.1800803,0.040586948,,1333.381165,559.0854395,0.023548841
,660.9463537,494.946826,9.591800928,,1532.104354,805.2376503,0.036970139,,1333.381165,559.0854395,0.021889925
,629.1548028,505.9271893,9.442080021,,1436.502708,806.8350181,0.032804012,,1333.381165,559.0854395,0.020653963
,579.2710171,497.8654227,9.219769001,,1725.719011,631.4070448,0.032884121,,1333.381165,559.0854395,0.020841122
,674.9637137,513.771494,9.486002207,,1780.934931,665.5515847,0.03751421,,1333.381165,559.0854395,0.021704197
,615.5027795,499.3693764,9.484987974,,1596.810881,706.0798853,0.038207054,,1333.381165,559.0854395,0.026038885
,641.8632631,442.8467476,9.514354944,,1734.555531,710.4296988,0.039912939,,1333.381165,559.0854395,0.025798082
,656.4617451,461.2971083,9.3828969,,1375.943292,774.108323,0.036134005,,1333.381165,559.0854395,0.021064997
,632.2101932,507.0006265,9.835702181,,1731.610699,706.1320958,0.038220167,,1333.381165,559.0854395,0.023882151
,639.6304618,467.6766803,9.473023891,,1784.306436,692.8117846,0.036283016,,1333.381165,559.0854395,0.020847082
,615.5027795,508.8399316,9.354549885,,1691.684732,711.634127,0.034250975,,1333.381165,559.0854395,0.021183968
,584.7849982,495.2279489,9.154312134,,1488.856369,655.016077,0.038319826,,1333.381165,559.0854395,0.025024891
,639.9923445,495.9845696,9.803351164,,1901.643511,701.9480879,0.042646885,,1333.381165,559.0854395,0.024353027
,591.0096757,471.9176052,9.674504042,,1555.06512,707.0354412,0.036530018,,1333.381165,559.0854395,0.022104025
,654.7563139,465.0547233,10.10633802,,1477.349446,638.6977204,0.037371874,,1333.381165,559.0854395,0.022953033
,,,,,,,,,,,
Median,639.8114032,495.0873875,9.553077936,,1575.938,708.73257,0.037443042,,1333.381165,559.0854395,0.022796512
Dataset size,200,,,,,,,,,,
